name	origin	description
cheddar	England	A hard, often sharp-tasting natural cheese originating from the English village of Cheddar.
mozzarella	Italy	A traditionally southern Italian cheese made from Italian buffalo’s milk by the pasta filata method.
brie	France	A soft cow’s-milk cheese named after Brie, the French region from which it originated.
gouda	Netherlands	A mild, yellow cheese made from cow’s milk, originating from the Netherlands.
swiss	Switzerland	Known for its distinctive holes or “eyes”, this cheese has a mild, nutty flavor.
blue_cheese	Various	Characterized by blue or blue-green veins and a strong, sharp flavor.
feta	Greece	A brined curd white cheese made in Greece from sheep’s milk, or from a mixture of sheep and goat’s milk.
camembert	France	A moist, soft, creamy, surface-ripened cow’s milk cheese from France.
parmesan	Italy	A hard, granular cheese with a rich, sharp flavor, named after the producing areas near Parma, Italy.
roquefort	France	A sheep milk cheese from the south of France, distinguished by its green veins and strong taste.
monterey_jack	USA	An American white, semi-hard cheese known for its mild flavor and slight sweetness.
colby	USA	Similar to cheddar but does not undergo the cheddaring process. Named after the town of Colby, Wisconsin.
muenster	USA	A smooth-textured cheese with an orange rind and a mild flavor, originating from the United States.
provolone	Italy	An Italian cheese that can range in taste from sweet to sharp, made from cow’s milk.
ricotta	Italy	An Italian whey cheese made from sheep, cow, goat, or Italian water buffalo milk whey left over from the production of other cheeses.
havarti	Denmark	A semi-soft Danish cow’s milk cheese that is rindless, smooth, and slightly bright-surfaced with a cream to yellow color depending on the type.
gorgonzola	Italy	A veined Italian blue cheese, made from unskimmed cow’s milk. It can be buttery or firm, crumbly and quite salty, with a ‘bite’ from its blue veining.
stilton	England	An English cheese, known for its characteristic strong smell and taste.
manchego	Spain	A cheese made in the La Mancha region of spain from the milk of sheep of the Manchega breed.
asiago	Italy	An Italian cow’s milk cheese that can assume different textures, according to its aging.
pecorino_romano	Italy	An Italian cheese made from sheep’s milk, characterized by a sharp, salty flavor.
limburger	Belgium	Mexican cheese, traditionally made from raw cow milk or a combination of cow and goat milk.
taleggio	Italy	A semisoft, washed-rind, smear-ripened Italian cheese that is named after Val Taleggio.
cotija	Mexico	A hard, crumbly Mexican cheese made from cow’s milk, named after the town of Cotija in Michoacán.
Jarlsberg	Norway	A mild, semi-soft cow’s milk cheese of Norwegian origin.
comté	France	A French cheese made from unpasteurized cow’s milk in the Franche-Comté region of eastern France.
emmental	Switzerland	A yellow, medium-hard Swiss cheese that got its name from the area in west central Switzerland where it originated.
queso_blanco	Spain	A creamy, soft, and mild unaged white cheese, originating in Spain but popular in Latin American cuisines.
queso_fresco	Mexico	A Mexican cheese, traditionally made from raw cow milk or a combination of cow and goat milk.
fontina	Italy	An Italian cow’s milk cheese with a creamy and nutty flavor that intensifies with aging.
neufchâtel	France	A soft, slightly crumbly, mold-ripened cheese made in the Neufchâtel-en-Bray, French region.
mascarpone	Italy	An Italian cream cheese coagulated by the addition of certain acidic substances such as lemon juice or vinegar.
chèvre	France	A type of French cheese made from goat’s milk.
gruyère	Switzerland	A hard yellow Swiss cheese that originated in the cantons of Fribourg, Vaud, Neuchâtel, Jura, and Berne in Switzerland.
queso_de_bola	Netherlands	A Dutch Edam cheese exported to the Philippines, it is aged and coated with red wax.
paneer	India	A fresh cheese common in the Indian subcontinent, it is an unaged, non-melting cheese made by curdling milk with a fruit- or vegetable-derived acid.
halloumi	Cyprus	A semi-hard, unripened, brined cheese from Cyprus, it has a high melting point and so can easily be fried or grilled.
american_cheese	USA	A processed cheese product made from cheddar, colby, or similar cheeses. It is mild with a creamy and salty flavor.
cottage_cheese	USA	A fresh cheese curd product with a mild flavor. It is made from cow’s milk and is not aged.
menonita	Mexico	A Mexican cheese that is smooth, creamy, and semi-soft with a mild, slightly salty flavor.
